queries,local,country,lat,lon
"Paris, France",Paris,France,48.85717,2.3414
"Machu Picchu, Peru",Machu Picchu,Peru,-13.15421,-72.52548
The Grand Canyon,AZ,United States,36.23052979,-112.1671524
New Zealand,New Zealand,New Zealand,-41.28949,174.77686
"Colosseum, Rome",Laz.,Italy,41.89063644,12.49240589
"Bora Bora, French-Polynesia",Leeward Islands,French Polynesia,-16.50652122,-151.75143433
"London, England",England,United Kingdom,51.50015259,-0.1262362
"Great Barrier Reef, Australia",Australia,Australia,-16.35000038,145.8999939
Iceland,Iceland,Iceland,64.14748,-21.93419
"Maldives, Maldives",Maldives,Maldives,-0.61074799,73.09101868
"Pamukalle, Turkey",Denizli,Türkiye,37.7806778,29.08501053
"Phuket, Thailand",Phuket,Thailand,7.89044,98.3898
"New York City, Usa",NY,United States,40.71304703,-74.00723267
"Barcelona, Spain",Barcelona,Spain,41.38804,2.17001
"Bali, Indonesia",Bali,Indonesia,-8.35517883,115.11613464
"Amsterdam, Netherlands",Amsterdam,Netherlands,52.36994,4.90788
"Seychelles, Seychelles",Seychelles,Seychelles,-4.62278,55.45228
Costa Rica,Costa Rica,Costa Rica,9.92975,-84.0857
"San Francisco, Usa",CA,United States,37.78007889,-122.42015839
"Mumbai, Maharashtra",MH,India,18.96904755,72.82118225
British Virgin Islands,British Virgin Islands,British Virgin Islands,18.42878,-64.61325
"Santorini, Greece",Piraeus,Greece,36.54413,24.97922
"Prague, Czech-Republic",Prague,Czechia,50.08781052,14.42045975
"Amalfi, Italy",Amalfi,Italy,40.63389,14.60322
"Angkor Wat, Cambodia",SE,Cambodia,13.41250038,103.8666687
"Sydney, Australia",Sydney,Australia,-33.86973,151.20825
"Bangkok, Thailand",Bangkok,Thailand,13.75336,100.50483
"Mauritius, Mauritius",Port Louis,Mauritius,-20.16981,57.49807
"Dubai, UAE",Dubai,United Arab Emirates,25.20498085,55.27105713
"Hong Kong, Hongkong",Hong Kong SAR,Hong Kong SAR,22.26444054,114.18721771
"Kolkata, West Bengal",WB,India,22.56557274,88.37021637
"Pyramids of Giza, Egypt",El Haram,Egypt,29.97772,31.13165
"Florence, Italy",Florence,Italy,43.78237,11.25501
New Orleans,LA,United States,29.95176315,-90.07461548
"Kerry, Ireland",Ireland,Ireland,52.11902,-9.72155
"Marrakesh, Morocco",Marrakech,Morocco,31.63383,-8.00222
Sydney,NSW,Australia,-33.87319946,151.20959473
"Cape Town, South Africa",Cape Town,South Africa,-33.91909,18.42198
"Bora Bora, French Polynesia",Bora Bora,French Polynesia,-16.49965,-151.75264
"Dubrovnik, Croatia",Dubrovnik,Croatia,42.64277,18.11065
"Edinburgh, Scotland",Scotland,United Kingdom,55.95019531,-3.18756318
"Rome, Italy",Rome,Italy,41.90322,12.49565
"Paro Valley, Bhutan",Bhutan,Bhutan,27.47907,89.35759
"Jaipur, India",Jaipur,India,26.92591,75.80673
"Waikato, New Zealand",New Zealand,New Zealand,-37.78781,175.27995
"Havana, Cuba",Havana,Cuba,23.13211,-82.36749
"Tokyo, Japan",Japan,Japan,35.69393,139.75371
Antarctica,Antarctica,Antarctica,-80.41318,20.67103
"Vancouver, Canada",Vancouver,Canada,49.26038,-123.11336
Los Angeles,CA,United States,34.05223846,-118.24334717
"Kruger National Park, South Africa",Mbombela,South Africa,-24.98073,31.48438
"Moscow, Russia",Moscow,Russia,55.75696,37.61502
Singapor,Singapore,Singapore,1.35652304,103.80859375
"Rio de Janeiro, Brazil",Rio de Janeiro,Brazil,-22.91216,-43.17501
"Petra, Jordan",Petra,Jordan,30.32613,35.47423
Hong Kong,Hong Kong SAR,Hong Kong SAR,22.42118263,114.16609955
Barbados,Barbados,Barbados,13.112,-59.6127
Amsterdam,North Holland,Netherlands,52.37316513,4.89065981
"Santiago, Chile",Chile,Chile,-33.43723,-70.65003
"Cairo, Egypt",Cairo,Egypt,30.04427,31.23525
"Copenhagen, Denmark",Copenhagen,Denmark,55.67567,12.56756
"Seoul, Korea",Seoul,South Korea,37.56829453,126.99778748
"Laucala Island Resort, Fiji",Northern,Fiji,-16.75860023,-179.68484497
"Providencia, Colombia",Providencia,Colombia,13.38069,-81.36936
"Virunga National Park, Democratic Republic of Congo",Democratic Republic of the Congo,Democratic Republic of the Congo,-2.98143435,23.82226372
"Lisbon, Portugal",Lisbon,Portugal,38.72633,-9.14951
"Hanoi, Vietnam",Vietnam,Vietnam,21.02888,105.85463
Hawaii,HI,United States,19.61087608,-155.52749634
"Ibiza, Spain",Eivissa,Spain,38.90625,1.41954
"Beijing, China",Beijing,China,39.90657,116.38765
"Budapest, Hungary",Budapest,Hungary,47.49972,19.05508
"Cinque Terre, Italy",La Spezia,Italy,44.09237,9.80355
